id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
2816925,NY,,,PreservedSpecimen,f6081fa8-d97f-49d8-b3c7-aefed6c39196,323209,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,holotype,"F. E. Clements",,s.n.,1896-00-00,,1896,0,0,,,1896,,,,,,,,,,,,,,,,,,,sheet,,,,,,"United States of America",Colorado,"Chaffee Co.",,"Mt. Harvard",,,,38.934426,-106.323589,WGS84,,,,"Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2019); MaNIS Georef. Calculator",,,,,,,,,,en,,"2023-07-16 07:02:03",f6081fa8-d97f-49d8-b3c7-aefed6c39196,40,0b300466-7048-4182-bc9a-0b005892a2a6,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=2816925
3003447,USU,UTC,,PreservedSpecimen,301859dd-7b6e-4a01-b421-c5ae1b81c5da,UTC00256933,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"Charles F. Williams",2010,,,,,,"Charles F. Williams",,2010-0351,2010-08-14,,2010,8,14,226,,,"Very abundant.","Riparian areas and adjacent meadows. Site grazed and trampled by cattle. On bare slate at base of earth flow.",,"Full bloom.",,,,,,,,,,,0,,,,,,,,,,"United States",Colorado,Gunnison,,"Gothic Rocky Mountain Biological Laboratory. East River Meanders, below Rosy Point.",,0,,38.93461,-106.96452,,1100,"TRS: T13S R86W sec 11 SW 1/4 SPCO",,,,,,2930,,,,,9600ft,,,rjsanchez,"2023-07-16 07:02:03",,16,301859dd-7b6e-4a01-b421-c5ae1b81c5da,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3003447
3030012,RMBL,,,PreservedSpecimen,4968dfcd-a519-414a-8c7a-3e41ad3216d6,RMBL0009659,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Williams, Charles F.",,2010-0260,2010-07-25,,2010,7,25,206,,,,"In cracks and on small ledges in gully on face above Old Maid snowfield. Most collections from near top of face. Several plants in very loose soil/scree near top of face. Subalpine and alpine cliff face and ledge communities with shallow, mineral so",,"Full bloom. Fairly common but scattered.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Gothic. East Face of Gothic Mountain above Rocky Mountain Biological Laboratory. From top of Old Maid to Summit up gullies and ledges.",,0,,38.95446,-107.00159,WGS84,100,"NW1/4 S3 T13S R86W; lat: 38.95446 N; long: 107.00159 W","Williams, Charles F.",,GPS,,,3224,3848,,,,10578-12624ft,,,willcha2,"2023-07-16 07:02:03",RMBL0009659,112,4968dfcd-a519-414a-8c7a-3e41ad3216d6,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030012
3030013,RMBL,,,PreservedSpecimen,23470f21-5762-4b00-abed-86558e102f8a,RMBL0009692,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"Williams, Charles F.",2010,"Colorado Flora 3rd ed.",,,,,"Williams, Charles F.",,2010-0308,2010-08-07,,2010,8,7,219,,,,"Talus and scree slopes above treeline. On ridge.",,"Round heads with pink and white flowers. Full bloom. Relatively common.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Gothic. Rocky Mountain Biological Laboratory, from Research Meadow up West Ridge of Red Rock Peak (Mt. Harrison). From upper saddle to true summit along SW ridge.",,,,38.96131,-106.95718,WGS84,100,"SE1/4 S36 T12S R86W; lat: 38.9613108 N; long: 106.9571828 W","Williams, Charles F.",,GPS,,,3459,3853,,,,11350-12640ft,,,willcha2,"2023-07-16 07:02:03",RMBL0009692,112,23470f21-5762-4b00-abed-86558e102f8a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030013
3030014,RMBL,,,PreservedSpecimen,bb58a790-332d-4ebb-8ab3-f7bd22fd48e7,RMBL0003041,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Taylor, Kevin J.","Seagrist, Randy",187,1995-08-03,,1995,8,3,215,,,"Label: Plants of Hasley Basin.","Dry tundra.",,"Herbaceous, terrestrial, green stems and leaves, green sepals, blue-purple petals, orange anthers.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Maroon Bells-Snowmass Wilderness Area, White River National Forest, base of S-side of ""Mt. Sky Pilot"" (Pt. 12648ft), SE ridge of Hasley Basin (NW of Frigid Air Pass), 13 mi N of Crested Butte.",,0,,39.055967,-107.02483,WGS84,500,"lat: 39.2.32 N; long: 107.2.29 W","C.F. Williams",,GeoLocate,,"lat/lon on label are incorrect.",3855,,,,,12648ft.,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0003041,112,bb58a790-332d-4ebb-8ab3-f7bd22fd48e7,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030014
3030015,RMBL,,,PreservedSpecimen,22319f5c-da93-4560-a1c1-8dda083e7c66,RMBL0003039,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Taylor, Kevin J.","Seagrist, Randy",257,1995-08-11,,1995,8,11,223,,,"Label: Plants of Hasley Basin.","Dry tundra.",,"Green sepals with red tint, white petals with green stripe, yellow anthers.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Maroon Bells-Snowmass Wilderness Area, White River National Forest; SE Hasley Ridge, 13.0 mi. N of Crested Butte.",,0,,39.056069,-107.02487,WGS84,600,"lat: 39.2.32 N; long: 107.2.29 W","C.F. Williams",,GeoLocate,,"lat/lon on label are incorrect.",3780,,,,,12300ft,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0003039,112,22319f5c-da93-4560-a1c1-8dda083e7c66,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030015
3030016,RMBL,,,PreservedSpecimen,ea5b11a8-e2be-403d-bcfd-83384e67106d,RMBL0003042,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Taylor, Kevin J.","Seagrist, Randy",339,1995-08-31,,1995,8,31,243,,,"Label: Plants of Hasley Basin.","Dry tundra.",,"Herbaceous, terrestrial, green stems and leaves, green sepals with red tips, white petals with green stripe down middle above and below, orange anthers.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Maroon Bells-Snowmass Wilderness Area, White River National Forest, SW ridge of Hasley Basin, 13.0 mi. N of Crested Butte.",,0,,39.049121,-107.047354,WGS84,750,"lat: 39.2.32 N; long: 107.2.29 W","C.F. Williams",,GeoLocate,,"lat/lon on label are incorrect.",3719,3780,,,,12200-12400ft.,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0003042,112,ea5b11a8-e2be-403d-bcfd-83384e67106d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030016
3030017,RMBL,,,PreservedSpecimen,8afec548-f144-4663-8aa3-1d1ecae2f5f6,RMBL0003040,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Seagrist, Randy","Taylor, Kevin J.",1135,1995-08-03,,1995,8,3,215,,,"Label: Plants of Hasley Basin.","Dry tundra.",,"Herbaceous, terrestrial, leaves green on top, silvery pubescent underneath, pink to white corollas.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Maroon Bells-Snowmass Wilderness Area, White River National Forest, SE ridge of Hasley Basin (between Hasley and Fravert Basins, NW of Frigid Air Pass), 13 mi N of Crested Butte.",,0,,39.061865,-107.027448,WGS84,1000,"lat: 39.2.32 N; long: 107.2.29 W","C.F. Williams",,GeoLocate,,"lat/lon on label are incorrect.",3719,3855,,,,12200-12648ft.,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0003040,112,8afec548-f144-4663-8aa3-1d1ecae2f5f6,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030017
3030018,RMBL,,,PreservedSpecimen,be3c54ca-fb89-4736-b078-a8c108ca351c,RMBL0003043,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Seagrist, Randy",,579,1994-07-20,,1994,7,20,201,,,"Label: Plants of Gunnison County.","Alpine tundra.",,"Leaves green on top and white underneath, white corollas.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Hasley Basin, SW ridge and peak.",,0,,39.05157,-107.050962,WGS84,500,"SW 1/4 S31 T11S R86W","C.F. Williams",,GeoLocate,,,3749,,,,,12300ft.,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0003043,112,be3c54ca-fb89-4736-b078-a8c108ca351c,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030018
3030019,RMBL,,,PreservedSpecimen,470264a3-7323-40f6-bea3-bb1b53feae63,RMBL0004282,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,"C.F. Williams",2023-07-05,"Colorado Flora W-slope (2012), Ackerfield (2022).","! verified.",,,,"Seagrist, Randy",,582,1994-07-20,,1994,7,20,201,,,"Label: Plants of Gunnison County.","Alpine tundra.",,"Leaves green on top and white underneath, white corollas.",,,,,,,,,Flower,,,,,,,,,,,,"United States",Colorado,Gunnison,,"Hasley Basin, SW ridge and peak.",,0,,39.05157,-107.050962,WGS84,500,"SW 1/4 S31 T11S R86W","C.F. Williams",,GeoLocate,,,3780,,,,,12400ft.,,,"Aldridge, George","2023-07-16 07:02:03",RMBL0004282,112,470264a3-7323-40f6-bea3-bb1b53feae63,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030019
