coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
21607846,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:04591b48-5acf-4b68-97e7-58dc905ddc66,"2023-07-16 05:07:11"
21607851,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:eaa0600a-0eed-4761-afbd-c7163db058f1,"2023-07-16 05:07:11"
883732,"N.H. Holmgren",1966-08-13,,"Eriogonum humivagans",0,Reveal,,,,,,,urn:uuid:6a6fcb61-cada-4251-8799-72c6d0a8af2d,"2012-09-06 15:37:14"
883757,"N.H. Holmgren",1966-08-15,,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:e17233d7-0713-4eb1-aa02-969ac7dd3f33,"2012-09-06 15:37:14"
1004468,"K. Mauz",2007-07-25,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:04e5e318-17b4-40a7-b883-c5ace2b9dc47,"2012-09-06 15:37:14"
1004468,unknown,2007-07-25,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:4a526e90-ab02-4b53-93c9-8563910eeabb,"2023-07-16 05:07:11"
3349966,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:7a81b08c-f494-46bc-86fa-c9971b49ad51,"2023-07-16 05:07:11"
3827901,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:18ec220a-b836-47f7-88b1-bd495da4c608,"2023-07-16 05:07:11"
2082978,"James Reveal",s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ff439a5c-6de7-442b-ba07-43b9ed07a6a1,"2023-07-16 05:07:11"
2082979,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:0560cba3-07b7-45ba-87e7-73c72ec65341,"2023-07-16 05:07:11"
3290570,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:74322813-9b5d-47ed-a2c5-c77566b37a55,"2023-07-16 05:07:11"
4399467,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:5a3cbeb8-1a86-47dc-ab36-a0e61a3b82b5,"2023-07-16 05:07:11"
21308782,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:5aa200dd-a9d9-4206-b73a-18ab805882a2,"2023-07-16 05:07:11"
21308783,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:3b2787d6-fc7d-4113-856e-0b69ac5d5bf8,"2023-07-16 05:07:11"
21308784,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:fd84f082-ec88-44d8-9026-f9ac80f5c83c,"2023-07-16 05:07:11"
21308785,"James L Reveal",2003,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:b0ac8dbe-aae3-4009-a814-8d65cdff4915,"2023-07-16 05:07:11"
23992812,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ab1bbd66-4f5a-44a4-90c1-2aa34c0183bd,"2023-07-16 05:07:11"
173015,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr.& Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:b4886ffe-d379-4ec2-884d-5165b33a11d7,"2023-07-16 05:07:11"
173016,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr.& Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:70766614-9e0b-4e58-bdf7-23cf921e81fc,"2023-07-16 05:07:11"
341379,"A.C. Sanders",2000,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:a4e1c01e-6ccd-481c-8e75-20ca5941cd87,"2023-07-16 05:07:11"
341381,"A.C. Sanders",2000,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:e5ef42eb-a45d-4331-bae7-00da2115777d,"2023-07-16 05:07:11"
374251,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:33866f4a-d307-4fa6-a7c8-e22caab309bf,"2023-07-16 05:07:11"
374252,"A.C. Sanders",1987,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:41b7a206-2355-482a-a14a-054ebeb38cf8,"2023-07-16 05:07:11"
374253,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:11c76b76-14f2-4de5-a40f-2026d38b4c6c,"2023-07-16 05:07:11"
374254,"A.C. Sanders",1987,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:685800ef-2645-42e6-994a-7b8bb8b6ef15,"2023-07-16 05:07:11"
374255,unknown,s.d.,,"Eriogonum lonchophyllum var. saurinum",1,"(Reveal) S.L. Welsh",Eriogonum,lonchophyllum,var.,saurinum,,,urn:uuid:b4b8ac13-2608-468f-a8c4-fb1a1a57548f,"2023-07-16 05:07:11"
189471,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:19a6df50-07df-417a-b17f-3e2a01467a4e,"2023-07-16 05:07:11"
196428,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ba5b8a15-d596-42f8-acff-6f963e01e92f,"2023-07-16 05:07:11"
220721,unknown,s.d.,,"Eriogonum saurinum",1,Reveal,Eriogonum,saurinum,,,,,urn:uuid:b86d5afe-a41a-4c49-812b-f02aac2927f8,"2023-07-16 05:07:11"
220722,unknown,s.d.,,"Eriogonum saurinum",1,Reveal,Eriogonum,saurinum,,,,,urn:uuid:b28883e8-b8c9-4793-85e3-6abe1feed80d,"2023-07-16 05:07:11"
