"ratio","seed","metric"
1,1001,0.978654382360417
1,1002,0.887534739635401
1,1003,0.861820330772453
2,1004,0.829746631045216
2,1005,0.810390582424836
2,1006,0.724147387275242
3,1007,0.869404659009142
3,1008,0.676786586534159
3,1009,0.887906233244447
4,1010,0.62031307727946
4,1011,0.777709777880838
4,1012,0.709388116962757
1,1013,0.909687864051703
1,1014,0.939434139676161
1,1015,0.941190690761322
1,1016,0.956322111516122
1,1017,0.904005087700297
1,1018,0.934682127627453
1,1019,0.844810664228886
1,1020,0.875532499364906
1,1021,0.789978260237755
1,1022,0.96202238199876
