"ratio","seed","metric"
1,1001,1
1,1002,0.978969482529854
1,1003,1
2,1004,0.962556561085973
2,1005,0.922648328658931
2,1006,0.988515406162465
3,1007,0.928638763197587
3,1008,0.956503672676501
3,1009,0.93815585500957
4,1010,0.907238146310362
4,1011,0.969095448636971
4,1012,0.93974236547766
1.5,1013,0.993067570165321
1.5,1014,0.979230769230769
1.5,1015,0.99094427244582
2.5,1016,0.943802404165226
2.5,1017,0.847180048536726
2.5,1018,1
3.5,1019,0.962777418659772
3.5,1020,0.948890993307312
3.5,1021,0.927921817506891
1.25,1022,0.993067570165321
1.25,1023,0.958278050649188
1.25,1024,1
1.25,1025,0.980891278079859
1.25,1026,0.969221901679332
1.75,1027,0.895373499808029
1.75,1028,0.989753796255344
1.75,1029,0.975224572587656
1.75,1030,0.937314803372329
1.75,1031,0.935081016410692
2.25,1032,0.986907869442927
2.25,1033,1
2.25,1034,0.993067570165321
2.25,1035,0.942126941685765
2.25,1036,0.96697542653425
2.75,1037,0.8729045492948
2.75,1038,0.931716103369247
2.75,1039,0.950584253309167
2.75,1040,0.967465528992346
2.75,1041,0.904802202027878
3.25,1042,0.92490295917852
3.25,1043,0.866518591256443
3.25,1044,0.955867870465621
3.25,1045,0.900591800325103
3.25,1046,0.905974049422097
3.75,1047,0.96496247545123
3.75,1048,0.966301120165751
3.75,1049,0.918791320949765
3.75,1050,0.965836762187609
3.75,1051,0.954683294886582
1,1052,0.984305975354569
1,1053,0.996635909265667
1,1054,0.961205196642731
1,1055,0.993067570165321
1,1056,0.957738348733158
1,1057,0.945356930651048
1,1058,0.99094427244582
1,1059,0.963713204580078
1,1060,0.978969482529854
1,1061,0.94383912746042
