"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.86904779536684
"XGB Poisson Spat.","MSE",227.61648312199
"XGB Poisson Spat.","RMSE",15.0869640127492
"XGB Poisson","MAE",7.70968344113832
"XGB Poisson","MSE",249.051128973013
"XGB Poisson","RMSE",15.7813538384073
"XBG Tweedie Spat.","MAE",7.99136593259247
"XBG Tweedie Spat.","MSE",305.630798665301
"XBG Tweedie Spat.","RMSE",17.4822995817284
"XGB Tweedie","MAE",7.3185376230311
"XGB Tweedie","MSE",229.053032703317
"XGB Tweedie","RMSE",15.1344980988243
