"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",6.19586001234044
"XGB Poisson Spat.","MSE",162.696383668333
"XGB Poisson Spat.","RMSE",12.7552492593572
"XGB Poisson","MAE",6.19586001234044
"XGB Poisson","MSE",162.696383668333
"XGB Poisson","RMSE",12.7552492593572
"XBG Tweedie Spat.","MAE",6.46023083380594
"XBG Tweedie Spat.","MSE",272.139798066127
"XBG Tweedie Spat.","RMSE",16.4966602094523
"XGB Tweedie","MAE",6.43930514451168
"XGB Tweedie","MSE",220.212110083525
"XGB Tweedie","RMSE",14.8395454810289
