"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.65584811296854
"XGB Poisson Spat.","MSE",350.350494952166
"XGB Poisson Spat.","RMSE",18.7176519615086
"XGB Poisson","MAE",7.01307484005159
"XGB Poisson","MSE",209.520648023832
"XGB Poisson","RMSE",14.4748280827039
"XBG Tweedie Spat.","MAE",7.33535679899883
"XBG Tweedie Spat.","MSE",284.591294002982
"XBG Tweedie Spat.","RMSE",16.8698338463359
"XGB Tweedie","MAE",6.98986574414468
"XGB Tweedie","MSE",212.825278170241
"XGB Tweedie","RMSE",14.5885324200291
