"Model","Metric","Value"
"Arithmatic Mean","MAE",9.38845748885527
"Arithmatic Mean","MSE",265.800930669494
"Arithmatic Mean","RMSE",16.3034024261653
"Kriging","MAE",9.46573016799306
"Kriging","MSE",331.601123989682
"Kriging","RMSE",18.209918286189
"XGB Poisson Spat.","MAE",6.81486126421011
"XGB Poisson Spat.","MSE",180.451024484687
"XGB Poisson Spat.","RMSE",13.4332060389427
"XGB Poisson","MAE",7.22374433347391
"XGB Poisson","MSE",211.850545339068
"XGB Poisson","RMSE",14.5550865795799
"XBG Tweedie Spat.","MAE",6.15370735212071
"XBG Tweedie Spat.","MSE",153.865405390481
"XBG Tweedie Spat.","RMSE",12.4042494892066
"XGB Tweedie","MAE",6.15370735212071
"XGB Tweedie","MSE",153.865405390481
"XGB Tweedie","RMSE",12.4042494892066
