"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.52153463746259
"XGB Poisson Spat.","MSE",220.442364001132
"XGB Poisson Spat.","RMSE",14.8473015730513
"XGB Poisson","MAE",7.67447325840182
"XGB Poisson","MSE",211.702506235016
"XGB Poisson","RMSE",14.5500002142617
"XBG Tweedie Spat.","MAE",7.2589717585627
"XBG Tweedie Spat.","MSE",222.015716975853
"XBG Tweedie Spat.","RMSE",14.9001918435922
"XGB Tweedie","MAE",7.22904449520171
"XGB Tweedie","MSE",193.61958448466
"XGB Tweedie","RMSE",13.9147254548791
