"Model","Metric","Value"
"Arithmetic Mean","MAE",10.2175984469929
"Arithmetic Mean","MSE",336.247328695918
"Arithmetic Mean","RMSE",18.3370479820477
"Kriging","MAE",10.4804653881119
"Kriging","MSE",414.805005883143
"Kriging","RMSE",20.3667622827769
"XGB Poisson Spat.","MAE",6.06954752686388
"XGB Poisson Spat.","MSE",181.638310178743
"XGB Poisson Spat.","RMSE",13.477325779944
"XGB Poisson","MAE",5.98699159525986
"XGB Poisson","MSE",176.531829818728
"XGB Poisson","RMSE",13.2865281326134
"XBG Tweedie Spat.","MAE",6.03397203351651
"XBG Tweedie Spat.","MSE",183.973966273949
"XBG Tweedie Spat.","RMSE",13.563700316431
"XGB Tweedie","MAE",6.04253171425249
"XGB Tweedie","MSE",177.64514229845
"XGB Tweedie","RMSE",13.3283585748002
"LGBM Poisson Spat.","MAE",7.01445416293696
"LGBM Poisson Spat.","MSE",276.882633156473
"LGBM Poisson Spat.","RMSE",16.639790658433
