"Model","Metric","Value"
"Arithmetic Mean","MAE",10.2175984469929
"Arithmetic Mean","MSE",336.247328695918
"Arithmetic Mean","RMSE",18.3370479820477
"Kriging","MAE",10.4804653881119
"Kriging","MSE",414.805005883143
"Kriging","RMSE",20.3667622827769
"XGB Poisson Spat.","MAE",6.52580449578253
"XGB Poisson Spat.","MSE",222.806530626604
"XGB Poisson Spat.","RMSE",14.9267052837056
"XGB Poisson","MAE",6.86131653160725
"XGB Poisson","MSE",218.363479377717
"XGB Poisson","RMSE",14.7771268986132
"XBG Tweedie Spat.","MAE",6.63021983355125
"XBG Tweedie Spat.","MSE",255.062823646459
"XBG Tweedie Spat.","RMSE",15.9706863862033
"XGB Tweedie","MAE",6.65267578339729
"XGB Tweedie","MSE",209.253578640652
"XGB Tweedie","RMSE",14.4655998368769
"LGBM Poisson Spat.","MAE",8.18068416263693
"LGBM Poisson Spat.","MSE",326.20615642993
"LGBM Poisson Spat.","RMSE",18.0611781573055
