"ratio","seed","metric"
1,1001,0.82983045269215
1,1002,0.969465152829502
1,1003,0.871986303075054
2,1004,0.851133193762733
2,1005,0.856578462882413
2,1006,0.81796784207199
3,1007,0.81105497782189
3,1008,0.881838560061006
3,1009,0.802509739712984
4,1010,0.817462378935053
4,1011,0.845146313491627
4,1012,0.894200181563789
1.5,1013,0.863416422001472
1.5,1014,0.923233337217255
1.5,1015,0.877840577955855
2.5,1016,0.813809667094854
2.5,1017,0.795663210230853
2.5,1018,0.789458664505921
3.5,1019,0.807304300007371
3.5,1020,0.815076564256415
3.5,1021,0.770401139743587
1.25,1022,0.946217698423581
1.25,1023,0.815383197004886
1.25,1024,0.864557363960206
1.25,1025,0.860182852641648
1.25,1026,0.874357082569289
1.75,1027,0.830086907989385
1.75,1028,0.896619399855404
1.75,1029,0.897566082357364
1.75,1030,0.844617945568669
1.75,1031,0.902429328215212
2.25,1032,0.795295886788022
2.25,1033,0.88799539179601
2.25,1034,0.847831767066051
2.25,1035,0.84936930166531
2.25,1036,0.858636200279507
2.75,1037,0.779972630947484
2.75,1038,0.880633278434687
2.75,1039,0.855103068084972
2.75,1040,0.805463199319095
2.75,1041,0.827779689482664
3.25,1042,0.818524280372061
3.25,1043,0.874923564143047
3.25,1044,0.807169481524756
3.25,1045,0.796597254093818
3.25,1046,0.858686158762268
3.75,1047,0.843919643231793
3.75,1048,0.814384713426632
3.75,1049,0.807276184307879
3.75,1050,0.822318308410168
3.75,1051,0.75777125075121
1,1052,0.899405377585632
1,1053,0.927686962303835
1,1054,0.913471505346505
1,1055,0.954728296548528
1,1056,0.928160936640796
1,1057,0.88764619814248
1,1058,0.915101140021161
1,1059,0.925151422082884
1,1060,0.896922056101735
1,1061,0.85023907762483
