"ratio","seed","metric"
1,1001,0.753570552995189
1,1002,0.80310370687563
1,1003,0.730701563484188
2,1004,0.729576692321343
2,1005,0.674118862975485
2,1006,0.610033871252578
3,1007,0.567717857026106
3,1008,0.565034073581793
3,1009,0.691024583208526
4,1010,0.606054655436019
4,1011,0.545940575572593
4,1012,0.531654420314885
5,1013,0.496623048811249
5,1014,0.494393283138717
5,1015,0.474689700011437
1,1016,0.745612287127127
1,1017,0.796765103921992
1,1018,0.81385304778512
1,1019,0.883884817021312
1,1020,0.763241839946494
1,1021,0.725121352497534
1,1022,0.805263749975841
1,1023,0.820346716554618
1,1024,0.898079652842175
1,1025,0.737815171628808
