"model","resolution","iteration","pa_ratio","dist_order","seed","cv_structure","orig_pr_auc","orig_roc_auc","n","pr_auc"
"1-3arc-Iteration1-PA1:1DO:0-Seed1002","1/3 arc-second",1,"1:1","0",1002,"spatial knndm",0.561923574003687,0.474025974025974,58,0.667327130690233
"1-3arc-Iteration1-PA1:1DO:0-Seed1003","1/3 arc-second",1,"1:1","0",1003,"spatial knndm",0.546521106005418,0.426490449546595,58,0.646520262535175
"1-3arc-Iteration1-PA1:1DO:0-Seed1013","1/3 arc-second",1,"1:1","0",1013,"spatial knndm",0.566175076294032,0.440089814247806,58,0.65384292806825
"1-3arc-Iteration1-PA1:1DO:0-Seed1014","1/3 arc-second",1,"1:1","0",1014,"spatial knndm",0.55321426084865,0.393832693128468,58,0.668487414122537
"1-3arc-Iteration1-PA1:1DO:0-Seed1015","1/3 arc-second",1,"1:1","0",1015,"spatial knndm",0.537881049042377,0.478293289146645,58,0.650471389664551
"1-3arc-Iteration1-PA1:1DO:0-Seed1016","1/3 arc-second",1,"1:1","0",1016,"spatial knndm",0.501863478340123,0.444996293550778,58,0.635383982469075
"1-3arc-Iteration1-PA1:1DO:0-Seed1017","1/3 arc-second",1,"1:1","0",1017,"spatial knndm",0.517949354896746,0.400291995877705,58,0.745427843230387
"1-3arc-Iteration1-PA1:1DO:0-Seed1018","1/3 arc-second",1,"1:1","0",1018,"spatial knndm",0.565391371417785,0.482033224990971,58,0.680013355927993
"1-3arc-Iteration1-PA1:1DO:0-Seed1019","1/3 arc-second",1,"1:1","0",1019,"spatial knndm",0.599582452206353,0.451974139921496,58,0.694486009063196
"1-3arc-Iteration1-PA1:1DO:0-Seed1020","1/3 arc-second",1,"1:1","0",1020,"spatial knndm",0.584829526344227,0.51084887704606,58,0.61764207822974
"1-3arc-Iteration1-PA1:1DO:0-Seed1021","1/3 arc-second",1,"1:1","0",1021,"spatial knndm",0.547973086198208,0.401890796835809,58,0.695194110251526
"1-3arc-Iteration1-PA1:1DO:0-Seed1022","1/3 arc-second",1,"1:1","0",1022,"spatial knndm",0.536118332991812,0.41305525460455,58,0.706382619036266
"1-3arc-Iteration1-PA1:2DO:0-Seed1004","1/3 arc-second",1,"1:2","0",1004,"spatial knndm",0.445580269428703,0.493106526482841,58,0.706277255583013
"1-3arc-Iteration1-PA1:2DO:0-Seed1005","1/3 arc-second",1,"1:2","0",1005,"spatial knndm",0.447695693364858,0.454484258492129,58,0.685118777036341
"1-3arc-Iteration1-PA1:2DO:0-Seed1006","1/3 arc-second",1,"1:2","0",1006,"spatial knndm",0.488957946492298,0.540386256935553,58,0.699857310786249
"1-3arc-Iteration1-PA1:3.95750708215297DO:0-Seed1010","1/3 arc-second",1,"1:3.95750708215297","0",1010,"spatial knndm",0.308503207333441,0.348993963782696,58,0.726931195573287
"1-3arc-Iteration1-PA1:3.95750708215297DO:0-Seed1011","1/3 arc-second",1,"1:3.95750708215297","0",1011,"spatial knndm",0.309303837852065,0.463832997987928,58,0.695816308112611
"1-3arc-Iteration1-PA1:3.95750708215297DO:0-Seed1012","1/3 arc-second",1,"1:3.95750708215297","0",1012,"spatial knndm",0.306540557931075,0.349949698189135,58,0.726206012128719
"1-3arc-Iteration1-PA1:3DO:0-Seed1007","1/3 arc-second",1,"1:3","0",1007,"spatial knndm",0.353475285621375,0.4458486076275,58,0.725029616193997
"1-3arc-Iteration1-PA1:3DO:0-Seed1008","1/3 arc-second",1,"1:3","0",1008,"spatial knndm",0.358358148509298,0.436889278253252,58,0.690939988875496
"1-3arc-Iteration1-PA1:3DO:0-Seed1009","1/3 arc-second",1,"1:3","0",1009,"spatial knndm",0.35600552821678,0.359918129466454,58,0.722679425256186
"1arc-Iteration0-PA1:1.25DO:0-Seed1022","1 arc-second",0,"1:1.25","0",1022,"spatial knndm",0.946217698423581,0.931481481481481,58,0.638066984114329
"1arc-Iteration0-PA1:1.25DO:0-Seed1023","1 arc-second",0,"1:1.25","0",1023,"spatial knndm",0.815383197004886,0.789351851851852,58,0.495634678620612
"1arc-Iteration0-PA1:1.25DO:0-Seed1024","1 arc-second",0,"1:1.25","0",1024,"spatial knndm",0.864557363960206,0.855820105820106,58,0.50861713788198
"1arc-Iteration0-PA1:1.25DO:0-Seed1025","1 arc-second",0,"1:1.25","0",1025,"spatial knndm",0.860182852641648,0.856837606837607,58,0.508529466291927
"1arc-Iteration0-PA1:1.25DO:0-Seed1026","1 arc-second",0,"1:1.25","0",1026,"spatial knndm",0.874357082569289,0.850877192982456,58,0.679880749740641
"1arc-Iteration0-PA1:1.5DO:0-Seed1013","1 arc-second",0,"1:1.5","0",1013,"spatial knndm",0.863416422001472,0.864444444444444,58,0.587017587896906
"1arc-Iteration0-PA1:1.5DO:0-Seed1014","1 arc-second",0,"1:1.5","0",1014,"spatial knndm",0.923233337217255,0.919191919191919,58,0.548017768661926
"1arc-Iteration0-PA1:1.5DO:0-Seed1015","1 arc-second",0,"1:1.5","0",1015,"spatial knndm",0.877840577955855,0.882183908045977,58,0.705227073631795
"1arc-Iteration0-PA1:1.75DO:0-Seed1027","1 arc-second",0,"1:1.75","0",1027,"spatial knndm",0.830086907989385,0.842261904761905,58,0.676394719988614
"1arc-Iteration0-PA1:1.75DO:0-Seed1028","1 arc-second",0,"1:1.75","0",1028,"spatial knndm",0.896619399855404,0.889917695473251,58,0.73
"1arc-Iteration0-PA1:1.75DO:0-Seed1029","1 arc-second",0,"1:1.75","0",1029,"spatial knndm",0.897566082357364,0.936507936507937,58,0.676394719988614
