"ratio","seed","metric"
1,1001,0.541363937172897
1,1002,0.561923574003687
1,1003,0.546521106005418
2,1004,0.445580269428703
2,1005,0.447695693364858
2,1006,0.488957946492298
3,1007,0.353475285621375
3,1008,0.358358148509298
3,1009,0.35600552821678
3.95750708215297,1010,0.308503207333441
3.95750708215297,1011,0.309303837852065
3.95750708215297,1012,0.306540557931075
1,1013,0.566175076294032
1,1014,0.55321426084865
1,1015,0.537881049042377
1,1016,0.501863478340123
1,1017,0.517949354896746
1,1018,0.565391371417785
1,1019,0.599582452206353
1,1020,0.584829526344227
1,1021,0.547973086198208
1,1022,0.536118332991812
