"ratio","seed","metric"
1,1001,0.697561858475756
1,1002,0.746905468638098
1,1003,0.688358229585263
2,1004,0.785014666784715
2,1005,0.813477998840777
2,1006,0.678178711642618
3,1007,0.710544238404788
3,1008,0.601558790276119
3,1009,0.694961190756699
4,1010,0.625238120410518
4,1011,0.654370439845598
4,1012,0.685971928311358
1.5,1013,0.685581684646733
1.5,1014,0.854562305333235
1.5,1015,0.669558860198812
1.25,1016,0.713707098564
1.25,1017,0.836417298214354
1.25,1018,0.805050305837523
1.25,1019,0.716906610689715
1.25,1020,0.80517072307967
1.75,1021,0.769114756345567
1.75,1022,0.692634669302717
1.75,1023,0.740641361827355
1.75,1024,0.770277188459999
1.75,1025,0.633276819251907
1.25,1026,0.877865030038854
1.25,1027,0.668075793762426
1.25,1028,0.775215830836311
1.25,1029,0.719708888293945
1.25,1030,0.705453856195995
1.25,1031,0.67777281579388
1.25,1032,0.79360669250364
1.25,1033,0.751070871579617
1.25,1034,0.752541794398834
1.25,1035,0.779843554956496
