"ratio","seed","metric"
1,1001,0.986076293343561
1,1002,0.961228455155161
1,1003,0.984405187719508
2,1004,0.959054788471779
2,1005,0.975522240007008
2,1006,0.931366371189604
3,1007,0.96835816400747
3,1008,0.92504734759278
3,1009,0.909000127446584
4,1010,0.943765783945438
4,1011,0.905745046172395
4,1012,0.894985843402937
1.5,1013,0.948781741610008
1.5,1014,0.961531207242024
1.5,1015,0.977855466828105
2.5,1016,0.909681609412585
2.5,1017,0.957166325794117
2.5,1018,0.948124276866075
3.5,1019,0.925775479223729
3.5,1020,0.893456299390122
3.5,1021,0.860513211579868
1.25,1022,0.978840556849505
1.25,1023,0.974411018660549
1.25,1024,0.980295284817496
1.25,1025,0.945533807716725
1.25,1026,0.950112400910514
1.75,1027,0.961976487139504
1.75,1028,0.96022403059614
1.75,1029,0.951297623504806
1.75,1030,0.954035727969079
1.75,1031,0.96996761726218
2.25,1032,0.953996832409106
2.25,1033,0.962760760913918
2.25,1034,0.969675628260789
2.25,1035,0.962867229479195
2.25,1036,0.947238562311637
2.75,1037,0.932808037651446
2.75,1038,0.94682696035359
2.75,1039,0.934415978235033
2.75,1040,0.935329576202928
2.75,1041,0.967028919106527
3.25,1042,0.9073757456305
3.25,1043,0.951791072425402
3.25,1044,0.891338191693512
3.25,1045,0.943839080211902
3.25,1046,0.938824557597767
3.75,1047,0.887823535883882
3.75,1048,0.926704812761016
3.75,1049,0.889418178826706
3.75,1050,0.881752182330936
3.75,1051,0.932090190353926
1,1052,0.952678561034961
1,1053,0.983771492516136
1,1054,0.979900079261151
1,1055,0.968754362578549
1,1056,0.96787851371559
1,1057,0.983936397269756
1,1058,0.949611141011168
1,1059,0.979376900946598
1,1060,0.981512484416654
1,1061,0.96377489799334
