"ratio","seed","metric"
1,1001,0.973442695791767
1,1002,0.995694444444444
1,1003,0.960645424836601
2,1004,0.955952380952381
2,1005,0.946093993152817
2,1006,0.966091954022989
3,1007,0.94699938949939
3,1008,0.943859477124183
3,1009,0.960251639199008
4,1010,0.973442695791767
4,1011,0.89901501861272
4,1012,0.956406810035842
1.5,1013,0.955700369891546
1.5,1014,0.982894736842105
1.5,1015,0.960555555555556
2.5,1016,0.947794382528425
2.5,1017,0.958465007215007
2.5,1018,0.946093993152817
3.5,1019,0.933710465488023
3.5,1020,0.953569518716578
3.5,1021,0.931546054964479
1.25,1022,0.960414746543779
1.25,1023,0.953377316809811
1.25,1024,0.945036992734361
1.25,1025,0.97445652173913
1.25,1026,0.976429738562091
1.75,1027,0.961205420396597
1.75,1028,0.965017921146953
1.75,1029,0.961488779419814
1.75,1030,0.959408922171019
1.75,1031,0.971230769230769
2.25,1032,0.925191308691309
2.25,1033,0.975648148148148
2.25,1034,0.956543724474759
2.25,1035,0.963871252204586
2.25,1036,0.987308590102708
2.75,1037,0.960651331239567
2.75,1038,0.957195121951219
2.75,1039,0.94199234949235
2.75,1040,0.951399482870071
2.75,1041,0.959098416289593
3.25,1042,0.897819522444869
3.25,1043,0.939891429616353
3.25,1044,0.96980056980057
3.25,1045,0.921002938769697
3.25,1046,0.937908232118758
3.75,1047,0.956343354131216
3.75,1048,0.944753251875463
3.75,1049,0.970518518518519
3.75,1050,0.934030004603775
3.75,1051,0.927327672327672
1,1052,0.99109126984127
1,1053,0.957756512493355
1,1054,0.99109126984127
1,1055,0.978291562238931
1,1056,0.971230769230769
1,1057,0.986146214896215
1,1058,0.96980056980057
1,1059,0.987308590102708
1,1060,0.953223882145451
1,1061,0.978291562238931
