coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
8801747,https://api.idigbio.org/v2/media/195db9c1135537c0412cae5b4724fc16?size=fullsize,https://api.idigbio.org/v2/media/195db9c1135537c0412cae5b4724fc16?size=fullsize,https://api.idigbio.org/v2/media/195db9c1135537c0412cae5b4724fc16?size=thumbnail,https://api.idigbio.org/v2/media/195db9c1135537c0412cae5b4724fc16?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3e697c29-cfcd-479a-9fb6-0f082ba99c63,"2016-04-20 13:04:50",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=8801747,StillImage,Photograph,en
8801748,https://api.idigbio.org/v2/media/42c7cbbcf3965011a52dbacfccd3ac6f?size=fullsize,https://api.idigbio.org/v2/media/42c7cbbcf3965011a52dbacfccd3ac6f?size=fullsize,https://api.idigbio.org/v2/media/42c7cbbcf3965011a52dbacfccd3ac6f?size=thumbnail,https://api.idigbio.org/v2/media/42c7cbbcf3965011a52dbacfccd3ac6f?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:ae8bb90d-840b-4d88-8c8b-c5e79407f0e6,"2016-04-20 13:04:50",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=8801748,StillImage,Photograph,en
8801749,https://api.idigbio.org/v2/media/2ad2f516daed84060dc9983aa6faa462?size=fullsize,https://api.idigbio.org/v2/media/2ad2f516daed84060dc9983aa6faa462?size=fullsize,https://api.idigbio.org/v2/media/2ad2f516daed84060dc9983aa6faa462?size=thumbnail,https://api.idigbio.org/v2/media/2ad2f516daed84060dc9983aa6faa462?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:03204308-a241-466e-bc92-49142dc34033,"2016-04-20 13:04:50",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=8801749,StillImage,Photograph,en
11091556,https://api.idigbio.org/v2/media/f00c8f52b89e81edfebf2d28100882a7,https://api.idigbio.org/v2/media/f00c8f52b89e81edfebf2d28100882a7,https://api.idigbio.org/v2/media/f00c8f52b89e81edfebf2d28100882a7?size=thumbnail,https://api.idigbio.org/v2/media/f00c8f52b89e81edfebf2d28100882a7?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8dd9a339-5dd5-4621-86b8-56aefad950ba,"2019-04-26 14:23:15",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11091556,StillImage,Photograph,en
11091645,https://api.idigbio.org/v2/media/754fe01ffc8b7a3ced35797f6309d6e8,https://api.idigbio.org/v2/media/754fe01ffc8b7a3ced35797f6309d6e8,https://api.idigbio.org/v2/media/754fe01ffc8b7a3ced35797f6309d6e8?size=thumbnail,https://api.idigbio.org/v2/media/754fe01ffc8b7a3ced35797f6309d6e8?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d2eff5df-663d-454f-9c48-2d653b8c0609,"2019-04-26 14:23:15",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11091645,StillImage,Photograph,en
11468473,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050117_L.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050117_L.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050117_TN.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050117_WR.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6119810f-1008-4fc8-b709-ba1ccd2669e1,"2020-06-03 12:37:16",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11468473,StillImage,Photograph,en
11468475,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050118_L.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050118_L.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050118_TN.JPG,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/050/NO0050118_WR.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:05495a23-99ee-41c9-ac41-cfb1ca6ac21e,"2020-06-03 12:37:17",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11468475,StillImage,Photograph,en
12656128,https://www.soroherbaria.org/imglib/seinet/sernec/TENN/TENN-V-0086/TENN-V-0086546.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/TENN/TENN-V-0086/TENN-V-0086546.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/TENN/TENN-V-0086/TENN-V-0086546_tn.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/TENN/TENN-V-0086/TENN-V-0086546_web.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"University of Tennessee Vascular Herbarium (TENN-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:0980986a-5d28-4789-bc76-5c8d9d856889,"2023-09-13 15:20:24",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=12656128,StillImage,Photograph,en
13357679,https://api.idigbio.org/v2/media/b5021dd817149fc234da47a3eed183be,https://api.idigbio.org/v2/media/b5021dd817149fc234da47a3eed183be,https://api.idigbio.org/v2/media/b5021dd817149fc234da47a3eed183be?size=thumbnail,https://api.idigbio.org/v2/media/b5021dd817149fc234da47a3eed183be?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5cb8fbd0-919d-43b7-ba2b-6a4eaf668ceb,"2019-04-26 14:23:15",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=13357679,StillImage,Photograph,en
15234945,http://sweetgum.nybg.org/images3/2226/486/02729944.jpg,http://sweetgum.nybg.org/images3/2226/486/02729944.jpg,http://sweetgum.nybg.org/images3/2226/486/02729944.thumb.jpg,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:e10af0ef-131c-4cf8-b915-d958c0a76608,"2017-06-20 15:41:04",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=15234945,StillImage,Photograph,en
15880086,https://api.idigbio.org/v2/media/0d7f2a1d2b0e537dd1553afb3b3debf6,https://api.idigbio.org/v2/media/0d7f2a1d2b0e537dd1553afb3b3debf6,https://api.idigbio.org/v2/media/0d7f2a1d2b0e537dd1553afb3b3debf6?size=thumbnail,https://api.idigbio.org/v2/media/0d7f2a1d2b0e537dd1553afb3b3debf6?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:62c32845-c96f-4f1a-a859-5c2545e322e0,"2019-04-26 14:23:16",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=15880086,StillImage,Photograph,en
18285046,https://api.idigbio.org/v2/media/9d57039f7d2f7e140e9a9a6515e1a618,https://api.idigbio.org/v2/media/9d57039f7d2f7e140e9a9a6515e1a618,https://api.idigbio.org/v2/media/9d57039f7d2f7e140e9a9a6515e1a618?size=thumbnail,https://api.idigbio.org/v2/media/9d57039f7d2f7e140e9a9a6515e1a618?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:85d4f4d7-4bea-4ef8-becd-f90b5579956f,"2019-04-26 14:23:17",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=18285046,StillImage,Photograph,en
18285123,https://api.idigbio.org/v2/media/1fd91f7dbd5e1b86ef536ddea61b5922,https://api.idigbio.org/v2/media/1fd91f7dbd5e1b86ef536ddea61b5922,https://api.idigbio.org/v2/media/1fd91f7dbd5e1b86ef536ddea61b5922?size=thumbnail,https://api.idigbio.org/v2/media/1fd91f7dbd5e1b86ef536ddea61b5922?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c1927834-83cd-48e9-8564-2125a6d3e6a5,"2019-04-26 14:23:17",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=18285123,StillImage,Photograph,en
19990017,http://sweetgum.nybg.org/images3/2431/864/03076166.jpg,http://sweetgum.nybg.org/images3/2431/864/03076166.jpg,http://sweetgum.nybg.org/images3/2431/864/03076166.thumb.jpg,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:698c387f-e7df-4345-a2ad-cd1dc7ae0e2c,"2018-06-20 21:08:48",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=19990017,StillImage,Photograph,en
19993498,http://sweetgum.nybg.org/images3/2431/861/03076163.jpg,http://sweetgum.nybg.org/images3/2431/861/03076163.jpg,http://sweetgum.nybg.org/images3/2431/861/03076163.thumb.jpg,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:1f69a490-3fed-4a1a-855c-3f56a63d0568,"2018-06-20 21:08:48",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=19993498,StillImage,Photograph,en
19995893,http://sweetgum.nybg.org/images3/2431/860/03076162.jpg,http://sweetgum.nybg.org/images3/2431/860/03076162.jpg,http://sweetgum.nybg.org/images3/2431/860/03076162.thumb.jpg,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:7799adef-7deb-4092-8b18-3d60d20a75df,"2018-06-20 21:08:48",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=19995893,StillImage,Photograph,en
21228714,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35980.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35980.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35980_tn.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35980_web.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Mecklenburg County Park and Recreation Herbarium (UNCC-UNCC)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:454c3ef7-3cd9-4bb8-8020-85e29e6c4562,"2023-08-29 18:56:55",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21228714,StillImage,Photograph,en
21228715,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35981.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35981.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35981_tn.JPG,https://www.soroherbaria.org/imglib/seinet/sernec/UNCC_UNCC/UNCC_35/UNCC_35981_web.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Mecklenburg County Park and Recreation Herbarium (UNCC-UNCC)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3ccd876a-dae6-479a-b253-b87d5e37bc4f,"2023-08-29 18:56:55",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21228715,StillImage,Photograph,en
21412275,https://www.soroherbaria.org/imglib/seinet/sernec/GA/GA139/GA139950.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/GA/GA139/GA139950.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/GA/GA139/GA139950_tn.jpg,https://www.soroherbaria.org/imglib/seinet/sernec/GA/GA139/GA139950_web.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"University of Georgia Herbarium (GA-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:7cfdef55-4c9f-448a-8e44-6f6287ad705d,"2023-09-06 04:06:43",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21412275,StillImage,Photograph,en
21514379,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00067/KHD00067358_lg.jpg,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00067/KHD00067358_lg.jpg,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00067/KHD00067358_tn.jpg,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00067/KHD00067358.JPG,http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Public Domain",,,urn:uuid:d37713cb-e015-492f-b2d8-dc0f1db6ddb6,"2019-10-07 12:20:39",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21514379,StillImage,Photograph,en
21539460,https://www.soroherbaria.org/imglib/seinet/swnode/DBG_KHD/KHD00074/KHD00074171_lg.jpg,https://www.soroherbaria.org/imglib/seinet/swnode/DBG_KHD/KHD00074/KHD00074171_lg.jpg,https://www.soroherbaria.org/imglib/seinet/swnode/DBG_KHD/KHD00074/KHD00074171_tn.jpg,https://www.soroherbaria.org/imglib/seinet/swnode/DBG_KHD/KHD00074/KHD00074171.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Public Domain",,,urn:uuid:8211d6e3-3fca-43eb-90ee-a5e688db017c,"2022-03-09 08:58:01",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21539460,StillImage,Photograph,en
21548328,https://api.idigbio.org/v2/media/f8c93dc9112a220f0b6a955e57bfe541,https://api.idigbio.org/v2/media/f8c93dc9112a220f0b6a955e57bfe541,https://api.idigbio.org/v2/media/f8c93dc9112a220f0b6a955e57bfe541?size=thumbnail,https://api.idigbio.org/v2/media/f8c93dc9112a220f0b6a955e57bfe541?size=webview,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5f9d0494-ff7a-48df-9630-299b0acf36f7,"2019-04-30 12:19:41",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21548328,StillImage,Photograph,en
21660778,https://cdn.plantatlas.org/img/specimens/USF/48427.jpg,https://cdn.plantatlas.org/img/specimens/USF/48427.jpg,https://cdn.plantatlas.org/img/specimens/USF/thumbs/48427.jpg,,http://creativecommons.org/licenses/by/3.0/,"University of South Florida Herbarium (USF)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,"Eriogonum coloradense Small - USA, Colorado (BARCODE: 48427) - USF Herbarium",,urn:uuid:a7a3f66f-656a-4a04-805e-f9ca8781d19f,"2019-04-19 07:13:26",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21660778,StillImage,Photograph,en
21660779,https://cdn.plantatlas.org/img/specimens/USF/48360.jpg,https://cdn.plantatlas.org/img/specimens/USF/48360.jpg,https://cdn.plantatlas.org/img/specimens/USF/thumbs/48360.jpg,,http://creativecommons.org/licenses/by/3.0/,"University of South Florida Herbarium (USF)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,"Eriogonum coloradense Small - USA, Colorado (BARCODE: 48360) - USF Herbarium",,urn:uuid:cd8456ee-cf6c-4c00-9759-6d58a45d5310,"2019-04-19 07:13:26",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21660779,StillImage,Photograph,en
